"Year","Rank","Country code","Country","Region Code","Region","Overall","Coverage","Openness"
"2015","42","BLR","Belarus","EUE","Eastern Europe","36.3","57.8","17.8"
"2015","43","BTN","Bhutan","ASZ","Southern Asia","36.2","55.5","19.6"
"2015","44","CIV","Cote d'Ivoire","AFW","Western Africa","36.0","39.0","33.4"
"2015","45","SAU","Saudi Arabia","ASW","Western Asia","35.9","41.7","30.9"
"2015","46","KEN","Kenya","AFE","Eastern Africa","35.8","48.7","24.6"
"2015","47","TJK","Tajikistan","ASC","Central Asia","35.7","46.6","26.3"
"2015","48","TGO","Togo","AFW","Western Africa","35.6","37.4","34.0"
"2015","49","IRN","Iran, Islamic Rep.","ASZ","Southern Asia","35.5","47.3","25.3"
"2015","50","BGD","Bangladesh","ASZ","Southern Asia","35.0","57.4","15.8"
"2015","51","CPV","Cabo Verde","AFW","Western Africa","34.6","47.6","23.4"
"2015","51","GMB","The Gambia","AFW","Western Africa","34.6","41.9","28.3"
"2015","53","YEM","Yemen","ASW","Western Asia","34.5","42.0","28.1"
"2015","54","MKD","North Macedonia","EUZ","Southern Europe","34.2","23.7","43.3"
"2015","55","HND","Honduras","AMM","Central America","33.2","42.3","25.4"
"2015","55","NPL","Nepal","ASZ","Southern Asia","33.2","51.9","17.1"
"2015","57","MDV","Maldives","ASZ","Southern Asia","32.3","49.4","20.2"
"2015","58","PSE","Palestine","ASW","Western Asia","32.2","50.7","16.2"
"2015","59","LSO","Lesotho","AFZ","Southern Africa","32.1","41.5","24.1"
"2015","59","URY","Uruguay","AMZ","South America","32.1","44.0","21.8"
"2015","61","MAR","Morocco","AFN","Northern Africa","31.6","54.3","12.0"
"2015","62","GHA","Ghana","AFW","Western Africa","31.3","45.3","19.3"
"2015","63","SSD","South Sudan","AFE","Eastern Africa","30.7","33.0","28.8"
"2015","63","LBR","Liberia","AFW","Western Africa","30.7","37.8","24.5"
"2015","65","MUS","Mauritius","AFE","Eastern Africa","30.4","37.1","24.6"
"2015","66","KAZ","Kazakhstan","ASC","Central Asia","30.3","45.7","17.1"
"2015","67","PAK","Pakistan","ASZ","Southern Asia","30.1","45.9","16.5"
"2015","68","GTM","Guatemala","AMM","Central America","28.7","38.1","20.7"
"2015","69","NIC","Nicaragua","AMM","Central America","28.2","37.4","20.3"
"2015","70","LBN","Lebanon","ASW","Western Asia","28.0","33.2","23.4"
"2015","71","MLI","Mali","AFW","Western Africa","27.6","40.6","16.3"
"2015","72","MNE","Montenegro","EUZ","Southern Europe","27.2","35.4","20.1"
"2015","72","BLZ","Belize","AMM","Central America","27.2","41.1","15.2"
"2015","74","PRY","Paraguay","AMZ","South America","27.1","49.9","7.5"
"2015","74","GUY","Guyana","AMZ","South America","27.1","35.3","19.9"
"2015","76","LCA","St. Lucia","AMC","Caribbean","26.7","48.5","11.4"
"2015","77","KHM","Cambodia","ASE","South-Eastern Asia","26.6","39.2","15.8"
"2015","77","MRT","Mauritania","AFW","Western Africa","26.6","32.9","21.1"
"2015","77","CMR","Cameroon","AFM","Middle Africa","26.6","45.0","10.7"
"2015","77","THA","Thailand","ASE","South-Eastern Asia","26.6","34.7","19.6"
"2015","81","BFA","Burkina Faso","AFW","Western Africa","25.4","44.0","9.3"
"2015","82","SLE","Sierra Leone","AFW","Western Africa","25.3","39.0","13.6"
"2015","82","BWA","Botswana","AFZ","Southern Africa","25.3","44.4","8.9"
"2015","84","ETH","Ethiopia","AFE","Eastern Africa","24.7","39.3","12.0"
"2015","85","TZA","Tanzania","AFE","Eastern Africa","24.4","39.8","11.1"
"2015","86","VCT","St. Vincent & Grenadines","AMC","Caribbean","24.1","29.7","20.2"
"2015","86","ECU","Ecuador","AMZ","South America","24.1","31.6","17.6"
"2015","86","GIN","Guinea","AFW","Western Africa","24.1","41.2","9.3"
"2015","89","FJI","Fiji","OPI","Pacific Islands","23.5","32.0","16.2"
"2015","89","ZWE","Zimbabwe","AFE","Eastern Africa","23.5","44.6","5.3"
"2015","91","BEN","Benin","AFW","Western Africa","23.3","35.5","12.7"
"2015","92","MOZ","Mozambique","AFE","Eastern Africa","23.2","37.2","11.1"
"2015","93","JAM","Jamaica","AMC","Caribbean","22.5","32.6","13.8"
"2015","94","SLV","El Salvador","AMM","Central America","21.7","30.7","14.0"
"2015","95","NER","Niger","AFW","Western Africa","21.6","35.9","9.3"
"2015","95","LAO","Lao PDR","ASE","South-Eastern Asia","21.6","36.8","8.4"
"2015","97","MYS","Malaysia","ASE","South-Eastern Asia","21.4","29.6","14.4"
"2015","98","VEN","Venezuela","AMZ","South America","21.3","25.8","17.4"
"2015","99","GNB","Guinea-Bissau","AFW","Western Africa","21.2","26.8","16.4"
"2015","100","BIH","Bosnia and Herzegovina","EUZ","Southern Europe","20.4","34.2","8.6"
"2015","101","VUT","Vanuatu","OPI","Pacific Islands","20.2","36.3","6.4"
"2015","102","DZA","Algeria","AFN","Northern Africa","19.9","29.3","11.7"
"2015","103","COG","Congo, Rep.","AFM","Middle Africa","19.7","31.5","9.6"
"2015","104","BDI","Burundi","AFE","Eastern Africa","19.3","31.8","8.4"
"2015","105","NAM","Namibia","AFZ","Southern Africa","19.2","29.8","10.0"
"2015","106","SLB","Solomon Islands","OPI","Pacific Islands","18.7","28.9","9.9"
"2015","106","FSM","Micronesia, Fed. Sts.","OPI","Pacific Islands","18.7","36.4","6.2"
"2015","108","MDG","Madagascar","AFE","Eastern Africa","18.1","29.3","8.5"
"2015","109","WSM","Samoa","OPI","Pacific Islands","17.5","27.0","9.3"
"2015","110","TCD","Chad","AFM","Middle Africa","17.1","28.5","7.3"
"2015","111","MHL","Marshall Islands","OPI","Pacific Islands","16.8","31.4","6.5"
"2015","112","ZMB","Zambia","AFE","Eastern Africa","16.7","29.8","5.4"
"2015","113","TLS","Timor-Leste","ASE","South-Eastern Asia","16.3","29.3","5.1"
"2015","114","AGO","Angola","AFM","Middle Africa","15.9","23.9","9.0"
"2015","115","COD","Congo, Dem. Rep.","AFM","Middle Africa","14.3","23.0","6.8"
"2015","116","GAB","Gabon","AFM","Middle Africa","14.1","21.9","7.4"
"2015","117","KIR","Kiribati","OPI","Pacific Islands","12.3","19.8","7.0"
"2015","118","AIA","Anguilla","AMC","Caribbean","11.6","18.3","6.9"
"2015","119","PNG","Papua New Guinea","OPI","Pacific Islands","10.9","18.5","4.4"
"2015","119","STP","Sao Tome and Principe","AFM","Middle Africa","10.9","20.6","4.0"
"2015","121","TKM","Turkmenistan","ASC","Central Asia","9.0","18.9","0.4"
"2015","122","DJI","Djibouti","AFE","Eastern Africa","7.3","15.3","0.5"
"2015","123","SWZ","Eswatini","AFZ","Southern Africa","6.6","5.8","7.3"
"2015","124","HTI","Haiti","AMC","Caribbean","3.8","5.3","2.5"
"2015","125","UZB","Uzbekistan","ASC","Central Asia","3.1","5.7","0.8"
