"Year","Rank","Country code","Country","Region Code","Region","Overall","Coverage","Openness"
"2015","1","MEX","Mexico","AMM","Central America","69.8","64.7","74.2"
"2015","2","MDA","Moldova","EUE","Eastern Europe","68.3","69.0","67.6"
"2015","3","MNG","Mongolia","ASF","Eastern Asia","66.7","68.9","64.7"
"2015","4","RWA","Rwanda","AFE","Eastern Africa","61.3","50.4","70.7"
"2015","5","GEO","Georgia","ASW","Western Asia","59.7","63.1","56.8"
"2015","6","CHN","China","ASF","Eastern Asia","56.7","69.7","45.6"
"2015","7","RUS","Russian Federation","EUE","Eastern Europe","54.5","61.5","48.5"
"2015","8","TUR","T�rkiye","ASW","Western Asia","53.7","61.2","47.3"
"2015","9","ARM","Armenia","ASW","Western Asia","52.5","56.7","49.0"
"2015","10","CUB","Cuba","AMC","Caribbean","51.2","69.2","35.7"
"2015","11","SRB","Serbia","EUZ","Southern Europe","49.2","40.0","57.2"
"2015","12","UKR","Ukraine","EUE","Eastern Europe","48.2","52.9","44.1"
"2015","13","VNM","Vietnam","ASE","South-Eastern Asia","47.7","48.0","47.4"
"2015","14","TUN","Tunisia","AFN","Northern Africa","47.6","30.5","62.2"
"2015","15","AZE","Azerbaijan","ASW","Western Asia","47.2","62.9","33.6"
"2015","16","ROU","Romania","EUE","Eastern Europe","46.7","57.2","37.6"
"2015","17","IND","India","ASZ","Southern Asia","46.4","60.3","34.5"
"2015","18","BGR","Bulgaria","EUE","Eastern Europe","45.8","56.8","36.3"
"2015","19","PER","Peru","AMZ","South America","45.7","53.4","39.0"
"2015","20","MWI","Malawi","AFE","Eastern Africa","45.6","54.3","38.1"
"2015","21","LKA","Sri Lanka","ASZ","Southern Asia","45.1","61.6","30.9"
"2015","22","PAN","Panama","AMM","Central America","44.5","61.3","30.0"
"2015","23","BRA","Brazil","AMZ","South America","43.8","49.3","39.0"
"2015","24","PHL","Philippines","ASE","South-Eastern Asia","43.0","59.7","28.6"
"2015","25","COL","Colombia","AMZ","South America","42.9","52.0","35.0"
"2015","26","DOM","Dominican Republic","AMC","Caribbean","41.4","58.2","27.0"
"2015","27","IDN","Indonesia","ASE","South-Eastern Asia","40.6","55.8","27.6"
"2015","28","JOR","Jordan","ASW","Western Asia","40.4","52.1","30.4"
"2015","29","UGA","Uganda","AFE","Eastern Africa","40.3","50.8","31.3"
"2015","30","XKX","Kosovo","EUZ","Southern Europe","39.8","49.4","31.5"
"2015","30","SDN","Sudan","AFN","Northern Africa","39.8","37.6","41.7"
"2015","32","ALB","Albania","EUZ","Southern Europe","39.3","48.0","31.9"
"2015","33","NGA","Nigeria","AFW","Western Africa","38.9","51.3","28.3"
"2015","34","ZAF","South Africa","AFZ","Southern Africa","38.8","52.0","27.4"
"2015","35","SEN","Senegal","AFW","Western Africa","38.6","50.5","28.4"
"2015","36","CHL","Chile","AMZ","South America","37.5","49.9","26.8"
"2015","36","AFG","Afghanistan","ASZ","Southern Asia","37.5","57.5","20.2"
"2015","38","KGZ","Kyrgyz Republic","ASC","Central Asia","37.3","53.5","23.3"
"2015","39","ARG","Argentina","AMZ","South America","37.0","50.2","25.6"
"2015","40","EGY","Egypt","AFN","Northern Africa","36.7","44.4","30.1"
"2015","41","BOL","Bolivia","AMZ","South America","36.6","38.1","35.2"
